Client code,Project type,Adjusted function points,First estimate (Hours),First estimate method,Actual effort (Hours),Actual duration (Days)
C2,D,18137.48,79870,EO,113930,946
C2,D,1020.6,1600,EO,1722,186
C2,D,377,1702,EO,1660,212
C2,P,210.45,592,EO,693,84
C2,D,410,2158,EO,1455,250
C2,D,279,994,EO,988,86
C2,D,240,1875,EO,1940,102
C2,P,230,2527,EO,2408,137
C2,D,150.29,2606,EO,1737,87
C2,D,1940.68,12694,EO,12646,291
C2,D,401,4176,EO,4414,392
C2,D,267,2240,EO,2480,165
C2,D,102,980,EO,980,88
C2,D,403,3720,EO,3189,249
C2,D,857,2914,EO,2895,186
C2,D,69,360,EO,322,63
C2,Unk,980.95,3700,EO,3555,192
C2,P,100.8,200,EO,570,123
C2,P,105.28,578,EO,464,123
C2,D,158.4,1652,EO,1742,186
C2,D,219.88,780,A,896,119
C2,P,1292.56,8690,EO,8656,195
C2,P,616.08,3748,EO,3966,210
C2,D,103.4,710,EO,989,180
C2,P,74.4,856,EO,585,238
C2,P,356.31,2436,EO,1860,144
C2,P,862,4101,EO,5249,432
C2,P,791.84,5231,EO,5192,392
C2,D,661.27,2853,A,1832,205
C2,D,179,1246,EO,928,49
C3456,P,518.4,2570,EO,2570,205
C3456,D,370,1328,EO,1328,145
C3456,D,839.05,3380,EO,2964,172
C3456,P,243.86,1522,EO,1304,137
C3456,D,557.28,2264,EO,1631,371
C3456,Unk,485.94,2790,EO,955,217
C3456,D,698.54,1312,EO,286,308
C3456,D,752.64,2210,A,1432,217
C3456,D,809.25,337,EO,321,40
C3456,P,178.1,865,EO,593,253
C3456,P,81.48,441,EO,302,405
C3456,P,1093.86,2731,EO,2634,241
C3456,Unk,1002.76,1039,EO,1040,156
C2,D,551.88,1393,A,887,92
